Tura,Symbol,Koszt,Efekt skali,Oblozenie,Koszt w turze
5,s1,1,1.05,22,25.67697243469354
5,s2,1,1.05,22,25.67697243469354
5,s3,1,1.05,22,25.67697243469354
5,s4,1,1.05,22,25.67697243469354
5,m1,1,1.05,88,110.0795906151218
5,m2,1,1.05,0,0.0
5,r1,0.2,0.95,44,7.282995444867059
5,r2,0.5,0.95,44,18.207488612167648
5,r3,0.505,0.95,0,0.0
5,r4,0.26,0.95,0,0.0
5,r5,0.505,0.95,22,9.519035027266337
5,r6,0.38,0.95,0,0.0
5,r7,0.535,0.95,22,10.084522256608892
5,r8,0.35000000000000003,0.95,0,0.0
5,r9,0.485,0.95,22,9.142043541037967
5,r10,0.4,0.95,0,0.0
5,r11,0.6,0.95,22,11.309744586851094
5,r12,0.5700000000000001,0.95,0,0.0
6,f1,1,1.05,66,81.38064587934407
6,f2,1,1.05,22,25.67697243469354
6,s1,1,1.05,22,25.67697243469354
6,s2,1,1.05,22,25.67697243469354
6,s3,1,1.05,22,25.67697243469354
6,s4,1,1.05,22,25.67697243469354
6,m1,1,1.05,22,25.67697243469354
6,m2,1,1.05,66,81.38064587934407
6,r1,0.2,0.95,22,3.769914862283698
6,r2,0.5,0.95,0,0.0
6,r3,0.505,0.95,44,18.389563498289323
6,r4,0.26,0.95,22,4.900889320968807
6,r5,0.505,0.95,0,0.0
6,r6,0.38,0.95,22,7.1628382383390266
6,r7,0.535,0.95,0,0.0
6,r8,0.35000000000000003,0.95,22,6.597351008996472
6,r9,0.485,0.95,22,9.142043541037967
6,r10,0.4,0.95,0,0.0
6,r11,0.6,0.95,0,0.0
6,r12,0.5700000000000001,0.95,22,10.744257357508541
7,f1,1,1.05,22,25.67697243469354
7,f2,1,1.05,66,81.38064587934407
7,s1,1,1.05,22,25.67697243469354
7,s2,1,1.05,22,25.67697243469354
7,s3,1,1.05,22,25.67697243469354
7,s4,1,1.05,22,25.67697243469354
7,m1,1,1.05,88,110.0795906151218
7,m2,1,1.05,0,0.0
7,r1,0.2,0.95,22,3.769914862283698
7,r2,0.5,0.95,66,26.763120106334977
7,r3,0.505,0.95,0,0.0
7,r4,0.26,0.95,0,0.0
7,r5,0.505,0.95,22,9.519035027266337
7,r6,0.38,0.95,0,0.0
7,r7,0.535,0.95,22,10.084522256608892
7,r8,0.35000000000000003,0.95,0,0.0
7,r9,0.485,0.95,22,9.142043541037967
7,r10,0.4,0.95,0,0.0
7,r11,0.6,0.95,22,11.309744586851094
7,r12,0.5700000000000001,0.95,0,0.0
8,f1,1,1.05,66,81.38064587934407
8,f2,1,1.05,22,25.67697243469354
8,s1,1,1.05,22,25.67697243469354
8,s2,1,1.05,22,25.67697243469354
8,s3,1,1.05,22,25.67697243469354
8,s4,1,1.05,22,25.67697243469354
8,m1,1,1.05,22,25.67697243469354
8,m2,1,1.05,66,81.38064587934407
8,r1,0.2,0.95,22,3.769914862283698
8,r2,0.5,0.95,0,0.0
8,r3,0.505,0.95,44,18.389563498289323
8,r4,0.26,0.95,22,4.900889320968807
8,r5,0.505,0.95,22,9.519035027266337
8,r6,0.38,0.95,0,0.0
8,r7,0.535,0.95,0,0.0
8,r8,0.35000000000000003,0.95,22,6.597351008996472
8,r9,0.485,0.95,0,0.0
8,r10,0.4,0.95,22,7.539829724567396
8,r11,0.6,0.95,0,0.0
8,r12,0.5700000000000001,0.95,22,10.744257357508541
9,f1,1,1.05,22,25.67697243469354
9,f2,1,1.05,66,81.38064587934407
9,s1,1,1.05,22,25.67697243469354
9,s2,1,1.05,22,25.67697243469354
9,s3,1,1.05,22,25.67697243469354
9,s4,1,1.05,22,25.67697243469354
9,m1,1,1.05,22,25.67697243469354
9,m2,1,1.05,66,81.38064587934407
9,r1,0.2,0.95,0,0.0
9,r2,0.5,0.95,22,9.424787155709245
9,r3,0.505,0.95,22,9.519035027266337
9,r4,0.26,0.95,44,9.467894078327177
9,r5,0.505,0.95,0,0.0
9,r6,0.38,0.95,22,7.1628382383390266
9,r7,0.535,0.95,0,0.0
9,r8,0.35000000000000003,0.95,22,6.597351008996472
9,r9,0.485,0.95,0,0.0
9,r10,0.4,0.95,22,7.539829724567396
9,r11,0.6,0.95,22,11.309744586851094
9,r12,0.5700000000000001,0.95,0,0.0
10,f1,1,1.05,66,81.38064587934407
10,f2,1,1.05,22,25.67697243469354
10,s1,1,1.05,22,25.67697243469354
10,s2,1,1.05,22,25.67697243469354
10,s3,1,1.05,22,25.67697243469354
10,s4,1,1.05,22,25.67697243469354
10,m1,1,1.05,66,81.38064587934407
10,m2,1,1.05,22,25.67697243469354
10,r1,0.2,0.95,66,10.705248042533992
10,r2,0.5,0.95,0,0.0
10,r3,0.505,0.95,0,0.0
10,r4,0.26,0.95,22,4.900889320968807
10,r5,0.505,0.95,0,0.0
10,r6,0.38,0.95,22,7.1628382383390266
10,r7,0.535,0.95,22,10.084522256608892
10,r8,0.35000000000000003,0.95,0,0.0
10,r9,0.485,0.95,22,9.142043541037967
10,r10,0.4,0.95,0,0.0
10,r11,0.6,0.95,22,11.309744586851094
10,r12,0.5700000000000001,0.95,0,0.0
11,f1,1,1.05,88,110.0795906151218
11,f2,1,1.05,0,0.0
11,s1,1,1.05,22,25.67697243469354
11,s2,1,1.05,22,25.67697243469354
11,s3,1,1.05,22,25.67697243469354
11,s4,1,1.05,22,25.67697243469354
11,m1,1,1.05,66,81.38064587934407
11,m2,1,1.05,22,25.67697243469354
11,r1,0.2,0.95,66,10.705248042533992
11,r2,0.5,0.95,0,0.0
11,r3,0.505,0.95,22,9.519035027266337
11,r4,0.26,0.95,0,0.0
11,r5,0.505,0.95,22,9.519035027266337
11,r6,0.38,0.95,0,0.0
11,r7,0.535,0.95,22,10.084522256608892
11,r8,0.35000000000000003,0.95,0,0.0
11,r9,0.485,0.95,0,0.0
11,r10,0.4,0.95,22,7.539829724567396
11,r11,0.6,0.95,22,11.309744586851094
11,r12,0.5700000000000001,0.95,0,0.0
12,f1,1,1.05,66,81.38064587934407
12,f2,1,1.05,22,25.67697243469354
12,s1,1,1.05,22,25.67697243469354
12,s2,1,1.05,22,25.67697243469354
12,s3,1,1.05,22,25.67697243469354
12,s4,1,1.05,22,25.67697243469354
12,m1,1,1.05,0,0.0
12,m2,1,1.05,88,110.0795906151218
12,r1,0.2,0.95,0,0.0
12,r2,0.5,0.95,0,0.0
12,r3,0.505,0.95,66,27.030751307398326
12,r4,0.26,0.95,22,4.900889320968807
12,r5,0.505,0.95,0,0.0
12,r6,0.38,0.95,22,7.1628382383390266
12,r7,0.535,0.95,0,0.0
12,r8,0.35000000000000003,0.95,22,6.597351008996472
12,r9,0.485,0.95,0,0.0
12,r10,0.4,0.95,22,7.539829724567396
12,r11,0.6,0.95,0,0.0
12,r12,0.5700000000000001,0.95,22,10.744257357508541
13,f1,1,1.05,88,110.0795906151218
13,f2,1,1.05,0,0.0
13,s1,1,1.05,22,25.67697243469354
13,s2,1,1.05,22,25.67697243469354
13,s3,1,1.05,22,25.67697243469354
13,s4,1,1.05,22,25.67697243469354
13,m1,1,1.05,44,53.16493782416031
13,m2,1,1.05,44,53.16493782416031
13,r1,0.2,0.95,44,7.282995444867059
13,r2,0.5,0.95,0,0.0
13,r3,0.505,0.95,44,18.389563498289323
13,r4,0.26,0.95,0,0.0
13,r5,0.505,0.95,0,0.0
13,r6,0.38,0.95,22,7.1628382383390266
13,r7,0.535,0.95,22,10.084522256608892
13,r8,0.35000000000000003,0.95,0,0.0
13,r9,0.485,0.95,22,9.142043541037967
13,r10,0.4,0.95,0,0.0
13,r11,0.6,0.95,0,0.0
13,r12,0.5700000000000001,0.95,22,10.744257357508541
14,f1,1,1.05,22,25.67697243469354
14,f2,1,1.05,66,81.38064587934407
14,s1,1,1.05,22,25.67697243469354
14,s2,1,1.05,22,25.67697243469354
14,s3,1,1.05,22,25.67697243469354
14,s4,1,1.05,22,25.67697243469354
14,m1,1,1.05,66,81.38064587934407
14,m2,1,1.05,22,25.67697243469354
14,r1,0.2,0.95,22,3.769914862283698
14,r2,0.5,0.95,44,18.207488612167648
14,r3,0.505,0.95,0,0.0
14,r4,0.26,0.95,22,4.900889320968807
14,r5,0.505,0.95,22,9.519035027266337
14,r6,0.38,0.95,0,0.0
14,r7,0.535,0.95,22,10.084522256608892
14,r8,0.35000000000000003,0.95,0,0.0
14,r9,0.485,0.95,0,0.0
14,r10,0.4,0.95,22,7.539829724567396
14,r11,0.6,0.95,22,11.309744586851094
14,r12,0.5700000000000001,0.95,0,0.0
15,f1,1,1.05,44,53.16493782416031
15,f2,1,1.05,44,53.16493782416031
15,s1,1,1.05,22,25.67697243469354
15,s2,1,1.05,22,25.67697243469354
15,s3,1,1.05,22,25.67697243469354
15,s4,1,1.05,22,25.67697243469354
15,m1,1,1.05,88,110.0795906151218
15,m2,1,1.05,0,0.0
15,r1,0.2,0.95,44,7.282995444867059
15,r2,0.5,0.95,44,18.207488612167648
15,r3,0.505,0.95,0,0.0
15,r4,0.26,0.95,0,0.0
15,r5,0.505,0.95,22,9.519035027266337
15,r6,0.38,0.95,0,0.0
15,r7,0.535,0.95,22,10.084522256608892
15,r8,0.35000000000000003,0.95,0,0.0
15,r9,0.485,0.95,22,9.142043541037967
15,r10,0.4,0.95,0,0.0
15,r11,0.6,0.95,22,11.309744586851094
15,r12,0.5700000000000001,0.95,0,0.0
16,f1,1,1.05,5,5.418991933671841
16,f2,1,1.05,52,63.35829925062096
16,s1,1,1.05,12,13.587523504086441
16,s2,1,1.05,14,15.974763505173518
16,s3,1,1.05,26,30.6000414925333
16,s4,1,1.05,5,5.418991933671841
16,m1,1,1.05,5,5.418991933671841
16,m2,1,1.05,52,63.35829925062096
16,r1,0.2,0.95,5,0.9226808345905883
16,r2,0.5,0.95,0,0.0
16,r3,0.505,0.95,0,0.0
16,r4,0.26,0.95,52,11.096257448752613
16,r5,0.505,0.95,0,0.0
16,r6,0.38,0.95,12,4.027223944344456
16,r7,0.535,0.95,0,0.0
16,r8,0.35000000000000003,0.95,14,4.294273275331025
16,r9,0.485,0.95,0,0.0
16,r10,0.4,0.95,26,8.836589325082457
16,r11,0.6,0.95,5,2.7680425037717646
16,r12,0.5700000000000001,0.95,0,0.0
17,f1,1,1.05,7,7.715302207814953
17,f2,1,1.05,56,68.48531038055295
17,s1,1,1.05,16,18.37917367995256
17,s2,1,1.05,14,15.974763505173518
17,s3,1,1.05,26,30.6000414925333
17,s4,1,1.05,7,7.715302207814953
17,m1,1,1.05,7,7.715302207814953
17,m2,1,1.05,56,68.48531038055295
17,r1,0.2,0.95,7,1.2702029986684673
17,r2,0.5,0.95,0,0.0
17,r3,0.505,0.95,0,0.0
17,r4,0.26,0.95,56,11.905618817660047
17,r5,0.505,0.95,0,0.0
17,r6,0.38,0.95,16,5.292947424840434
17,r7,0.535,0.95,0,0.0
17,r8,0.35000000000000003,0.95,14,4.294273275331025
17,r9,0.485,0.95,0,0.0
17,r10,0.4,0.95,26,8.836589325082457
17,r11,0.6,0.95,7,3.810608996005402
17,r12,0.5700000000000001,0.95,0,0.0
18,f1,1,1.05,5,5.418991933671841
18,f2,1,1.05,54,65.91943067061922
18,s1,1,1.05,14,15.974763505173518
18,s2,1,1.05,15,17.17496346965384
18,s3,1,1.05,25,29.36547357720048
18,s4,1,1.05,5,5.418991933671841
18,m1,1,1.05,5,5.418991933671841
18,m2,1,1.05,54,65.91943067061922
18,r1,0.2,0.95,5,0.9226808345905883
18,r2,0.5,0.95,0,0.0
18,r3,0.505,0.95,0,0.0
18,r4,0.26,0.95,54,11.50131292529378
18,r5,0.505,0.95,0,0.0
18,r6,0.38,0.95,14,4.6623538417879695
18,r7,0.535,0.95,0,0.0
18,r8,0.35000000000000003,0.95,15,4.585162590834157
18,r9,0.485,0.95,0,0.0
18,r10,0.4,0.95,25,8.513399225207845
18,r11,0.6,0.95,5,2.7680425037717646
18,r12,0.5700000000000001,0.95,0,0.0
19,f1,1,1.05,4,4.2870938501451725
19,f2,1,1.05,56,68.48531038055295
19,s1,1,1.05,13,14.778845872122783
19,s2,1,1.05,16,18.37917367995256
19,s3,1,1.05,27,31.8369864333969
19,s4,1,1.05,4,4.2870938501451725
19,m1,1,1.05,4,4.2870938501451725
19,m2,1,1.05,56,68.48531038055295
19,r1,0.2,0.95,4,0.7464263932294459
19,r2,0.5,0.95,0,0.0
19,r3,0.505,0.95,0,0.0
19,r4,0.26,0.95,56,11.905618817660047
19,r5,0.505,0.95,0,0.0
19,r6,0.38,0.95,13,4.3454002129582845
19,r7,0.535,0.95,0,0.0
19,r8,0.35000000000000003,0.95,16,4.875083154458295
19,r9,0.485,0.95,0,0.0
19,r10,0.4,0.95,27,9.159158345907782
19,r11,0.6,0.95,4,2.239279179688338
19,r12,0.5700000000000001,0.95,0,0.0
20,f1,1,1.05,5,5.418991933671841
20,f2,1,1.05,59,72.34268310976147
20,s1,1,1.05,16,18.37917367995256
20,s2,1,1.05,16,18.37917367995256
20,s3,1,1.05,27,31.8369864333969
20,s4,1,1.05,5,5.418991933671841
20,m1,1,1.05,5,5.418991933671841
20,m2,1,1.05,59,72.34268310976147
20,r1,0.2,0.95,5,0.9226808345905883
20,r2,0.5,0.95,0,0.0
20,r3,0.505,0.95,0,0.0
20,r4,0.26,0.95,59,12.510733098284504
20,r5,0.505,0.95,0,0.0
20,r6,0.38,0.95,16,5.292947424840434
20,r7,0.535,0.95,0,0.0
20,r8,0.35000000000000003,0.95,16,4.875083154458295
20,r9,0.485,0.95,0,0.0
20,r10,0.4,0.95,27,9.159158345907782
20,r11,0.6,0.95,5,2.7680425037717646
20,r12,0.5700000000000001,0.95,0,0.0
21,f1,1,1.05,6,6.562341286358655
21,f2,1,1.05,54,65.91943067061922
21,s1,1,1.05,13,14.778845872122783
21,s2,1,1.05,15,17.17496346965384
21,s3,1,1.05,26,30.6000414925333
21,s4,1,1.05,6,6.562341286358655
21,m1,1,1.05,6,6.562341286358655
21,m2,1,1.05,54,65.91943067061922
21,r1,0.2,0.95,6,1.0971693921141934
21,r2,0.5,0.95,0,0.0
21,r3,0.505,0.95,0,0.0
21,r4,0.26,0.95,54,11.50131292529378
21,r5,0.505,0.95,0,0.0
21,r6,0.38,0.95,13,4.3454002129582845
21,r7,0.535,0.95,0,0.0
21,r8,0.35000000000000003,0.95,15,4.585162590834157
21,r9,0.485,0.95,0,0.0
21,r10,0.4,0.95,26,8.836589325082457
21,r11,0.6,0.95,6,3.2915081763425804
21,r12,0.5700000000000001,0.95,0,0.0
22,f1,1,1.05,6,6.562341286358655
22,f2,1,1.05,57,69.76997999520887
22,s1,1,1.05,16,18.37917367995256
22,s2,1,1.05,15,17.17496346965384
22,s3,1,1.05,26,30.6000414925333
22,s4,1,1.05,6,6.562341286358655
22,m1,1,1.05,6,6.562341286358655
22,m2,1,1.05,57,69.76997999520887
22,r1,0.2,0.95,6,1.0971693921141934
22,r2,0.5,0.95,0,0.0
22,r3,0.505,0.95,0,0.0
22,r4,0.26,0.95,57,12.107499529998556
22,r5,0.505,0.95,0,0.0
22,r6,0.38,0.95,16,5.292947424840434
22,r7,0.535,0.95,0,0.0
22,r8,0.35000000000000003,0.95,15,4.585162590834157
22,r9,0.485,0.95,0,0.0
22,r10,0.4,0.95,26,8.836589325082457
22,r11,0.6,0.95,6,3.2915081763425804
22,r12,0.5700000000000001,0.95,0,0.0
